,job_id,config_hash,timestamp,success,cv_scores,mean_score,std_score,train_scores,mean_train_score,fit_time_mean,score_time_mean,hyperparameters.alpha,hyperparameters.max_iter,hyperparameters.solver,hyperparameters.tol,additional_metrics.neg_mean_squared_error.mean,additional_metrics.neg_mean_squared_error.std,additional_metrics.neg_mean_absolute_error.mean,additional_metrics.neg_mean_absolute_error.std,additional_metrics.neg_root_mean_squared_error.mean,additional_metrics.neg_root_mean_squared_error.std
0,0,a8618b2c0efa,2026-03-21 10:03:15,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0023031711578369142,0.0005413055419921875,0.15,100,auto,0.0001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
1,1,fabdca8c09c1,2026-03-21 10:03:15,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.00048336982727050783,0.0005417823791503906,0.15,100,auto,0.001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
2,2,56430bdfaf0c,2026-03-21 10:03:15,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.000482940673828125,0.0005429744720458985,0.15,100,auto,0.01,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
3,3,0c0c6eb1747e,2026-03-21 10:03:15,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098618,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.010345268249511718,0.0006203174591064454,0.15,100,svd,0.0001,-0.1621585304276182,0.00832088651863511,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.01038685106052542
4,4,868c47589cf9,2026-03-21 10:03:15,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098618,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0007193088531494141,0.0005404949188232422,0.15,100,svd,0.001,-0.1621585304276182,0.00832088651863511,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.01038685106052542
5,5,5bc9322ca122,2026-03-21 10:03:15,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098618,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.010200977325439453,0.0005389690399169922,0.15,100,svd,0.01,-0.1621585304276182,0.00832088651863511,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.01038685106052542
6,6,bf3a79390955,2026-03-21 10:03:15,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0005160331726074219,0.0005451202392578125,0.15,100,cholesky,0.0001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
7,7,a244088944be,2026-03-21 10:03:13,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.012329816818237305,0.0008203029632568359,0.15,100,cholesky,0.001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
8,8,b0a10072810e,2026-03-21 10:03:13,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.000839853286743164,0.0006316184997558593,0.15,100,cholesky,0.01,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
9,9,b7a1cabed0b2,2026-03-21 10:03:13,True,[0.28929748 0.32275594 0.24191667 0.29390474 0.24485721],0.2785464078288593,0.030927804969232846,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.288147050842449,0.0007882118225097656,0.0006588935852050781,0.15,100,lsqr,0.0001,-0.16215853229826138,0.008320883034926231,-0.3356693536212964,0.006736740903401907,-0.40255514618259697,0.010386846497826794
10,10,ac812c9451c9,2026-03-21 10:03:13,True,[0.26961681 0.31524092 0.24370319 0.30409953 0.22806669],0.27214542973140704,0.03357551546362568,[0.27958199 0.26962291 0.28631712 0.27232377 0.28985993],0.2795411420202725,0.0007527351379394531,0.0006601810455322266,0.15,100,lsqr,0.001,-0.16359755200386356,0.008829299344006128,-0.3382790928996734,0.008176162349116643,-0.4043226650700079,0.010987925852941886
11,11,d4fec037a9f4,2026-03-21 10:03:13,True,[0.24598365 0.3015607  0.2437942  0.27431907 0.1949023 ],0.2521119855701216,0.03554720760194653,[0.26533572 0.25667776 0.27250011 0.25233054 0.26926783],0.2632223927634302,0.0006121158599853516,0.0007027149200439453,0.15,100,lsqr,0.01,-0.1680780694031404,0.008796660765692224,-0.34392339583443415,0.007772197884719809,-0.40983000890359567,0.010836660242857444
12,12,8ebe6e855f87,2026-03-21 10:03:13,True,[0.28929744 0.32275598 0.24191667 0.29390475 0.24485725],0.27854641741069813,0.030927810235468853,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.2881470508426675,0.0006867408752441406,0.0006674766540527344,0.15,100,sparse_cg,0.0001,-0.1621585303123832,0.008320887230032856,-0.33566935061075903,0.006736795832757688,-0.40255514357669203,0.010386851897089475
13,13,98473c10ddea,2026-03-21 10:03:13,True,[0.28929744 0.32275598 0.24191667 0.29390475 0.24485725],0.27854641741069813,0.030927810235468853,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.2881470508426675,0.0007091522216796875,0.0006714820861816406,0.15,100,sparse_cg,0.001,-0.1621585303123832,0.008320887230032856,-0.33566935061075903,0.006736795832757688,-0.40255514357669203,0.010386851897089475
14,14,06a48d042424,2026-03-21 10:03:13,True,[0.26961618 0.31524279 0.24370276 0.30409163 0.22807362],0.2721453948705265,0.033572753323099225,[0.27958199 0.26962291 0.28631712 0.27232377 0.28985994],0.27954114506148586,0.0006784915924072266,0.0006777763366699219,0.15,100,sparse_cg,0.01,-0.16359757129925306,0.008828992889611722,-0.33827914310199514,0.008177198635111554,-0.4043226991434758,0.010987550072125858
15,15,fbb572779b43,2026-03-21 10:03:43,True,[0.26954382 0.31531447 0.24476761 0.30376659 0.22846055],0.2723706076751267,0.03325024261968177,[0.27971306 0.26986167 0.2866339  0.2726958  0.29006235],0.2797933554646271,0.0057637691497802734,0.0005908012390136719,0.15,100,sag,0.0001,-0.16354670472390956,0.008761658229384482,-0.3384475257774119,0.008075757610775917,-0.4042619783711747,0.010906767043144075
16,16,481711b87d66,2026-03-21 10:03:43,True,[0.26954382 0.31531447 0.24476761 0.30376659 0.22846055],0.2723706076751267,0.03325024261968177,[0.27971306 0.26986167 0.2866339  0.2726958  0.29006235],0.2797933554646271,0.005797195434570313,0.0005969047546386719,0.15,100,sag,0.001,-0.16354670472390956,0.008761658229384482,-0.3384475257774119,0.008075757610775917,-0.4042619783711747,0.010906767043144075
17,17,2ebd6916b3c4,2026-03-21 10:03:43,True,[0.26684774 0.31344724 0.2461342  0.30190169 0.22719097],0.27110436896530016,0.03259266453561308,[0.27864796 0.2686327  0.28511807 0.2713289  0.28889877],0.2785252805956838,0.003345012664794922,0.0005606651306152344,0.15,100,sag,0.01,-0.16383055932107277,0.008625924957023714,-0.33933552844419,0.007895381015026414,-0.4046176023864595,0.010731037233452301
18,18,b503b0a590c0,2026-03-21 10:03:42,True,[0.26707543 0.3136301  0.24611052 0.30200277 0.22734979],0.2712337221519675,0.03261426943893112,[0.27876403 0.26875759 0.2852107  0.27140317 0.28906416],0.27863992823442985,0.008091878890991212,0.0006069183349609375,0.15,100,saga,0.0001,-0.16380155920136044,0.008630994974656235,-0.33927716482364456,0.007902357726837162,-0.40458157264364336,0.01073826236207495
19,19,1e33a6acd661,2026-03-21 10:03:42,True,[0.26707543 0.3136301  0.24611052 0.30200277 0.22734979],0.2712337221519675,0.03261426943893112,[0.27876403 0.26875759 0.2852107  0.27140317 0.28906416],0.27863992823442985,0.008006668090820313,0.0006075382232666015,0.15,100,saga,0.001,-0.16380155920136044,0.008630994974656235,-0.33927716482364456,0.007902357726837162,-0.40458157264364336,0.01073826236207495
20,20,f3727c51fc80,2026-03-21 10:03:42,True,[0.26381075 0.31120232 0.24643092 0.29937942 0.22541113],0.2692469062903315,0.03206219533443814,[0.27685201 0.26687018 0.28292432 0.26958872 0.28712115],0.2766712791657315,0.005088710784912109,0.0005940437316894531,0.15,100,saga,0.01,-0.16424762962415979,0.008523475489528896,-0.34016284694674936,0.007806368410589311,-0.4051363279709803,0.010591760115770036
21,21,bf1cc5af5473,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0007043361663818359,0.0005643844604492187,0.15,300,auto,0.0001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
22,22,0c8d9662b63c,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0004688739776611328,0.0005491733551025391,0.15,300,auto,0.001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
23,23,395f7a6af1b4,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0007192611694335938,0.0005658626556396485,0.15,300,auto,0.01,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
24,24,2965ee3c6954,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098618,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0007196426391601563,0.0005624771118164062,0.15,300,svd,0.0001,-0.1621585304276182,0.00832088651863511,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.01038685106052542
25,25,fe519d2b8a4c,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098618,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.010834550857543946,0.0008150100708007813,0.15,300,svd,0.001,-0.1621585304276182,0.00832088651863511,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.01038685106052542
26,26,af426886e5ce,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098618,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0006546974182128906,0.0006327152252197266,0.15,300,svd,0.01,-0.1621585304276182,0.00832088651863511,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.01038685106052542
27,27,be38a12b0549,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0007479667663574218,0.0006203651428222656,0.15,300,cholesky,0.0001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
28,28,caa034b952c9,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0006501674652099609,0.0006356716156005859,0.15,300,cholesky,0.001,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
29,29,7563eea1dc2a,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191668 0.29390475 0.24485724],0.2785464168130033,0.030927808629098667,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.28814705084267167,0.0005010128021240235,0.0005603313446044921,0.15,300,cholesky,0.01,-0.16215853042761824,0.008320886518635091,-0.335669354686231,0.00673679663218167,-0.4025551437414068,0.010386851060525408
30,30,ba88aedf37fd,2026-03-21 10:03:42,True,[0.28929748 0.32275594 0.24191667 0.29390474 0.24485721],0.2785464078288593,0.030927804969232846,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.288147050842449,0.0006082534790039062,0.0005640983581542969,0.15,300,lsqr,0.0001,-0.16215853229826138,0.008320883034926231,-0.3356693536212964,0.006736740903401907,-0.40255514618259697,0.010386846497826794
31,31,abccc39a4e12,2026-03-21 10:03:42,True,[0.26961681 0.31524092 0.24370319 0.30409953 0.22806669],0.27214542973140704,0.03357551546362568,[0.27958199 0.26962291 0.28631712 0.27232377 0.28985993],0.2795411420202725,0.0005658149719238281,0.0005633831024169922,0.15,300,lsqr,0.001,-0.16359755200386356,0.008829299344006128,-0.3382790928996734,0.008176162349116643,-0.4043226650700079,0.010987925852941886
32,32,da92736d4b82,2026-03-21 10:03:42,True,[0.24598365 0.3015607  0.2437942  0.27431907 0.1949023 ],0.2521119855701216,0.03554720760194653,[0.26533572 0.25667776 0.27250011 0.25233054 0.26926783],0.2632223927634302,0.000605010986328125,0.0006176471710205078,0.15,300,lsqr,0.01,-0.1680780694031404,0.008796660765692224,-0.34392339583443415,0.007772197884719809,-0.40983000890359567,0.010836660242857444
33,33,73e4925c4893,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191667 0.29390475 0.24485725],0.27854641741069813,0.030927810235468853,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.2881470508426675,0.0005911827087402344,0.0005687236785888672,0.15,300,sparse_cg,0.0001,-0.1621585303123832,0.008320887230032856,-0.33566935061075903,0.006736795832757688,-0.40255514357669203,0.010386851897089475
34,34,67073ac2be6f,2026-03-21 10:03:42,True,[0.28929744 0.32275598 0.24191667 0.29390475 0.24485725],0.27854641741069813,0.030927810235468853,[0.28459096 0.27820473 0.29712784 0.28472332 0.2960884 ],0.2881470508426675,0.0005733966827392578,0.0005404949188232422,0.15,300,sparse_cg,0.001,-0.1621585303123832,0.008320887230032856,-0.33566935061075903,0.006736795832757688,-0.40255514357669203,0.010386851897089475
35,35,4361a9c5bd80,2026-03-21 10:03:41,True,[0.26961618 0.31524279 0.24370276 0.30409163 0.22807362],0.2721453948705265,0.033572753323099225,[0.27958199 0.26962291 0.28631712 0.27232377 0.28985994],0.27954114506148586,0.0006988048553466797,0.0006601333618164063,0.15,300,sparse_cg,0.01,-0.16359757129925306,0.008828992889611722,-0.33827914310199514,0.008177198635111554,-0.4043226991434758,0.010987550072125858
36,36,22dc95e87d06,2026-03-21 10:03:42,True,[0.27161714 0.3166821  0.24445984 0.30414854 0.23001649],0.2733848208729711,0.033291595628589576,[0.28039627 0.27094506 0.28809393 0.27432539 0.29093065],0.28093826020720025,0.019324779510498047,0.0008946895599365234,0.15,300,sag,0.0001,-0.1633192738495381,0.008776900535891254,-0.33800537453640556,0.008096804599731658,-0.403979901183434,0.010932213378861962
37,37,784547105f1b,2026-03-21 10:03:42,True,[0.27161714 0.3166821  0.24445984 0.30414854 0.23001649],0.2733848208729711,0.033291595628589576,[0.28039627 0.27094506 0.28809393 0.27432539 0.29093065],0.28093826020720025,0.018953704833984376,0.0009727954864501953,0.15,300,sag,0.001,-0.1633192738495381,0.008776900535891254,-0.33800537453640556,0.008096804599731658,-0.403979901183434,0.010932213378861962
38,38,58d046904e0a,2026-03-21 10:03:42,True,[0.26684774 0.31344724 0.2461342  0.30190169 0.22719097],0.27110436896530016,0.03259266453561308,[0.27864796 0.2686327  0.28511807 0.2713289  0.28889877],0.2785252805956838,0.005100440979003906,0.00143890380859375,0.15,300,sag,0.01,-0.16383055932107277,0.008625924957023714,-0.33933552844419,0.007895381015026414,-0.4046176023864595,0.010731037233452301
39,39,4cdbbf349ad0,2026-03-21 10:03:41,True,[0.27031359 0.31579062 0.24435337 0.30402933 0.22890398],0.2726781782504707,0.033363583416017174,[0.27992674 0.27018234 0.28706918 0.27316785 0.29032154],0.2801335290401605,0.025660133361816405,0.0009105682373046875,0.15,300,saga,0.0001,-0.1634778288883303,0.008787436762686467,-0.3382342335445483,0.008117530948921824,-0.4041758740599611,0.01094037093506377
40,40,007402942bba,2026-03-21 10:03:41,True,[0.26944335 0.31579062 0.24435337 0.30402933 0.22890398],0.27250413010112773,0.033377731720965885,[0.27968886 0.27018234 0.28706918 0.27316785 0.29032154],0.2800859542784327,0.024477291107177734,0.0008916854858398438,0.15,300,saga,0.001,-0.16351828529284412,0.008815999522344506,-0.33828600182148694,0.008181884153604688,-0.4042249762419311,0.010975148065261096
