job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
0,a45994d4d6eb,2026-04-14 18:10:15,True,0.8473328527220744,0.003595121646759905,0.8481388830094634,2.677446746826172,0.1436159610748291,250,5,14,10,sqrt,0.7614580948655113,0.005653690135386589,0.8473328527220744,0.003595121646759905,0.8356502194170222,0.003869968475730473,0.8188071417722668,0.007142774909888939,0.733389805364311,0.005198482974744614
1,8b80710264d7,2026-04-14 18:10:19,True,0.8549799852195061,0.0035517884744798453,0.8576517949351359,0.62314772605896,0.0513700008392334,50,9,7,3,log2,0.7751080442840041,0.006147571218597022,0.8549799852195061,0.0035517884744798453,0.8445829601891705,0.004064197800631846,0.8301534025810442,0.00561539491783019,0.7467424004352712,0.0060970835817359586
2,a4b1a31db814,2026-04-14 18:10:22,True,0.8570069179350617,0.0031639255065646858,0.864293170424044,0.3966202735900879,0.03396430015563965,25,13,17,1,log2,0.7785608927591726,0.005999110153423342,0.8570069179350617,0.0031639255065646858,0.8468814630478301,0.0038245018899280363,0.8333357506036819,0.004480045403574015,0.7500804014128254,0.006470742793078152
3,7281ca29876d,2026-04-14 18:10:41,True,0.8572833307114743,0.0030975491624548714,0.8667884848442403,3.052450704574585,0.18984479904174806,200,12,2,1,log2,0.7788861305711489,0.005688223748693928,0.8572833307114743,0.0030975491624548714,0.847135777885294,0.003674401697923437,0.8340129072453042,0.004432133536727215,0.7502622370116064,0.005955870305185709
4,6e0fa03bd47e,2026-04-14 18:10:47,True,0.8250053804694522,0.0037456282899346544,0.8258422775075285,0.9791079044342041,0.05942716598510742,125,3,17,4,sqrt,0.6799165979110942,0.01287636348213999,0.8250053804694522,0.0037456282899346544,0.7916206453087501,0.007094483161679316,0.8512803936347584,0.007486519125262212,0.6511520775772114,0.010235028827941826
5,49b0e1234d9f,2026-04-14 18:11:03,True,0.8535980062177668,0.0037652435433929606,0.8551257679842271,2.426645565032959,0.15619821548461915,200,8,17,8,log2,0.773243377185595,0.0062696230617051586,0.8535980062177668,0.0037652435433929606,0.8432165241735443,0.004215841484766717,0.8271851285516899,0.00616334469074018,0.7453099031153052,0.005965812664375941
6,67b3951961c9,2026-04-14 18:11:20,True,0.8538743671228701,0.003349513592512562,0.8547572314692694,2.7273353576660155,0.17401185035705566,225,9,2,16,log2,0.7738996233885613,0.006123336507747163,0.8538743671228701,0.003349513592512562,0.8436058108983151,0.003973816435778939,0.8272910837292254,0.00450992033600123,0.7461013430414398,0.006279214338382042
7,fe12bccdded1,2026-04-14 18:11:26,True,0.8096802614766686,0.0010542316895180573,0.810171689755359,0.972129487991333,0.06100449562072754,125,3,5,4,log2,0.620128350630364,0.004255185352625812,0.8096802614766686,0.0010542316895180573,0.7592293571853875,0.0022889427841992615,0.8892559866301376,0.0035890659132696533,0.6064877358060491,0.0028555920149879
8,dbd7d103dd82,2026-04-14 18:11:48,True,0.856515564599397,0.003008320364086959,0.8602085305849126,3.379820394515991,0.1922926902770996,200,15,4,7,sqrt,0.7793838130771846,0.00542200282334087,0.856515564599397,0.003008320364086959,0.8470044494219664,0.0035334808524370665,0.8298464079875825,0.004177189430960804,0.7521514825648465,0.005631613213192208
9,54f9616a743c,2026-04-14 18:12:10,True,0.8546114914378388,0.004028758274564149,0.8560701538387822,3.4606489181518554,0.19945473670959474,250,9,5,10,sqrt,0.7753495312726906,0.00687323136853859,0.8546114914378388,0.004028758274564149,0.8445215246333586,0.004574328353514625,0.8281574690845768,0.006294809537230196,0.7476319146391037,0.0067534598190361
10,bedf07d6dfc2,2026-04-14 18:12:33,True,0.8584810392445122,0.0030116335820642623,0.8698596474250051,3.579691171646118,0.22749528884887696,200,15,15,1,sqrt,0.7827892685276497,0.004538717976795743,0.8584810392445122,0.0030116335820642623,0.8492567551991929,0.003158183041801297,0.8328236117234205,0.00580614707222863,0.7554921323213799,0.004189989511731121
11,baf46a736308,2026-04-14 18:13:10,True,0.8578668122081294,0.0030472087365152585,0.8714873590859714,5.644484901428223,0.3331265926361084,300,16,15,1,sqrt,0.7826214808865524,0.004197226522621203,0.8578668122081294,0.0030472087365152585,0.8489173710034905,0.0030146488865119524,0.8305623348010558,0.006655606462075918,0.7560458009244648,0.003821693110548197
12,58f869589758,2026-04-14 18:13:35,True,0.8585424737370845,0.0032935624674354496,0.8707426017334747,3.8875511646270753,0.23397431373596192,200,15,12,1,sqrt,0.7831968396455655,0.004611278052132451,0.8585424737370845,0.0032935624674354496,0.8494487534643189,0.003285643763717808,0.8325142851262314,0.007166228693512419,0.756142392959337,0.004282839629691896
13,931c0a67db58,2026-04-14 18:13:57,True,0.8583274765909495,0.0033485043585716467,0.8705967225182215,3.119663667678833,0.19787359237670898,175,15,12,1,sqrt,0.7828824074266644,0.004593378759328281,0.8583274765909495,0.0033485043585716467,0.8492262212661992,0.003306596477308188,0.8321123334462236,0.007308517739091011,0.7558701196326234,0.00413964168512958
14,eb6df86078a5,2026-04-14 18:14:15,True,0.857989690624421,0.002931743226598407,0.8683394237263867,2.5878709316253663,0.20127973556518555,50,15,13,1,log2,0.7806957078246872,0.005101761982211974,0.857989690624421,0.002931743226598407,0.8481855023556486,0.003350525734199619,0.834125670083034,0.004905041752226795,0.7524690404619774,0.005286072706471877
15,bbc5b5c2fa07,2026-04-14 18:14:51,True,0.8585424784526581,0.003131869156431681,0.8716255584000028,5.388017559051514,0.3736425876617432,100,15,9,1,sqrt,0.7829317596142108,0.004572382332560009,0.8585424784526581,0.003131869156431681,0.8493413074318175,0.003213521970263506,0.8328959873056666,0.0064670410170614215,0.7556635168454136,0.00423008396653427
16,0b75001f7219,2026-04-14 18:15:08,True,0.8424802115670378,0.0017649602422885324,0.8438546317641965,2.3913081645965577,0.1640045166015625,75,4,4,1,sqrt,0.7406111360389602,0.007462012225847593,0.8424802115670378,0.0017649602422885324,0.8248619613571255,0.0036512895561700265,0.8312207286875909,0.010221519284288936,0.7081171220135569,0.009047961123200596
17,9323b85d4b45,2026-04-14 18:15:41,True,0.8536286810238906,0.0031605452067504803,0.8555710893630535,4.8255298137664795,0.3281228542327881,100,15,9,14,log2,0.7737281461072202,0.005751102202017546,0.8536286810238906,0.0031605452067504803,0.843428447039282,0.003739651711936568,0.8265300860436925,0.004333360178597652,0.7461138485773563,0.005876486754943209
18,49548563a4e0,2026-04-14 18:17:30,True,0.8575904135784376,0.002658412444331158,0.8773916597764202,17.33152322769165,0.974672269821167,275,15,3,1,sqrt,0.7811544708540605,0.004487357988258104,0.8575904135784376,0.002658412444331158,0.8481984424020066,0.0029759506318863993,0.8316437790046812,0.004671801828532334,0.7538173261842189,0.004631570133089503
19,26c71f89e1bf,2026-04-14 18:18:32,True,0.8578668122081297,0.0027131589737146153,0.8706811757877778,9.436924457550049,0.5445784091949463,150,15,11,1,sqrt,0.7815978937429542,0.0042603100270916785,0.8578668122081297,0.0027131589737146153,0.8485007331448795,0.0029047964945076725,0.8321334630105479,0.005238471833101375,0.7542170692368726,0.004188008451171554
20,8d97e350f17c,2026-04-14 18:20:19,True,0.8583889299458161,0.0026161067933638702,0.8698366080160967,16.8458092212677,0.9293872833251953,300,14,8,1,sqrt,0.781862710611624,0.004728949077211079,0.8583889299458161,0.0026161067933638702,0.848837506705261,0.0030601432335329204,0.8339135917466853,0.0041956509575632114,0.7539948650151925,0.005077930583044588
21,1101055e162c,2026-04-14 18:22:13,True,0.8581431872599538,0.0029539887709015347,0.8729538393929301,17.767424249649046,1.0697023391723632,300,17,16,1,sqrt,0.7839317020477304,0.00410116426277737,0.8581431872599538,0.0029539887709015347,0.8495711494248986,0.002909782471998182,0.829679074145784,0.006674482172445133,0.7580565307997746,0.004060498647066523
22,8c6bda6ba27d,2026-04-14 18:23:17,True,0.8572219103656229,0.003052627105667587,0.8624428017581305,9.711334466934204,0.5320028781890869,200,11,10,1,sqrt,0.7790159431452531,0.005668027290568941,0.8572219103656229,0.003052627105667587,0.8471623918631886,0.003651151544090485,0.833508056488802,0.004118773761988066,0.7505701350738369,0.005958417387949783
23,afb98e67f50b,2026-04-14 18:24:30,True,0.8534444577109248,0.004068302062840912,0.8552869975696907,11.428383445739746,0.6296592235565186,300,7,6,1,sqrt,0.7732707072242512,0.006644063264581256,0.8534444577109248,0.004068302062840912,0.8431601967864278,0.00448365913869981,0.8265343062655688,0.007148716680572227,0.7455567150935446,0.006412596864420808
24,43601407704c,2026-04-14 18:25:20,True,0.85061899448127,0.00405740482674377,0.8518473043691142,7.733434867858887,0.4535532474517822,225,6,7,1,sqrt,0.7687863124618953,0.007038099905499814,0.85061899448127,0.00405740482674377,0.8400903088991072,0.0046548139799150795,0.8214915155639867,0.006310633996379561,0.7415192379649145,0.006933495125226116
25,51599e47e600,2026-04-14 18:26:50,True,0.8562391565385579,0.0033409705108255272,0.8598323206533933,14.130597162246705,0.7709999084472656,300,10,8,2,sqrt,0.7774550325877903,0.00578496361289206,0.8562391565385579,0.0033409705108255272,0.8460944418174113,0.003827894304641874,0.8317958028104091,0.005113414665343256,0.749139085663596,0.00572810740756966
26,69623a66c60f,2026-04-14 18:27:33,True,0.8477013889439039,0.004114043254186868,0.8488913187893955,6.687070655822754,0.38872723579406737,200,5,8,1,sqrt,0.7618537786764552,0.0061829943011008325,0.8477013889439039,0.004114043254186868,0.8359731533180026,0.004327723831728685,0.8197683602672537,0.00824530135029105,0.7335888935434577,0.005296724995643267
27,8c946c8a0390,2026-04-14 18:28:30,True,0.8509261009261009,0.0037421545230808557,0.8525613494856555,8.664677381515503,0.5147759437561035,250,6,13,1,log2,0.7683513681387458,0.006187427650141555,0.8509261009261009,0.0037421545230808557,0.8400447682804257,0.004147565708931603,0.8235107073836077,0.006922671283166019,0.7404149935002311,0.006007774592848619
28,856eaa2fe4ef,2026-04-14 18:29:29,True,0.8564541112445305,0.003036025557975537,0.8606384954036255,8.798463773727416,0.5481900215148926,175,14,17,4,log2,0.7782676142397962,0.0055710177496404315,0.8564541112445305,0.003036025557975537,0.8465208133400763,0.003600437446772782,0.8313943281918318,0.00430395142293901,0.7502822165083524,0.0058554951537780385
29,dbd0e854c501,2026-04-14 18:30:10,True,0.8499433518146093,0.003881025640820934,0.8516016076605014,6.148520469665527,0.3755527973175049,175,6,13,4,log2,0.7661207704576596,0.005875292468323014,0.8499433518146093,0.003881025640820934,0.8387010681356996,0.004087042891318374,0.8228146986908556,0.007950499122157164,0.7378957075321172,0.005241716859723193
30,7a54de268060,2026-04-14 18:30:51,True,0.8375970512198057,0.0021012983978530814,0.8390405864165652,6.148913145065308,0.35675778388977053,225,4,5,15,log2,0.7254786222346057,0.008895348629350423,0.8375970512198057,0.0021012983978530814,0.816414055260528,0.004647373452319161,0.8329622510749057,0.0057501184057571295,0.6926217148668672,0.009360216155076
31,67eed7ef7697,2026-04-14 18:31:06,True,0.85823536257668,0.002460569137834694,0.8692146954808189,2.0101641178131104,0.11770162582397461,75,14,9,1,sqrt,0.7812998305465617,0.0044147853267116795,0.85823536257668,0.002460569137834694,0.8485404252962793,0.0028694348323481072,0.8341796366088697,0.0038515832581647418,0.7531969081140781,0.004654196565902685
32,50e43a0ac98b,2026-04-14 18:31:25,True,0.8282608427069504,0.0014604570350403117,0.8281917059330539,2.735321807861328,0.13385915756225586,275,3,6,15,sqrt,0.6900114974746204,0.0020587163589967676,0.8282608427069504,0.0014604570350403117,0.7973246065149396,0.001477815294665742,0.8506693819317993,0.005784284969675432,0.6592182630816532,0.0014542109280921828
33,25f588d7adcb,2026-04-14 18:31:33,True,0.8550721086649231,0.003164389212758326,0.8571527348807667,1.0327009201049804,0.06951713562011719,50,13,8,12,sqrt,0.7763468174359704,0.00579229038138758,0.8550721086649231,0.003164389212758326,0.8451308960766694,0.003752072865815234,0.8285373202638727,0.004346674694030766,0.7487624993007097,0.0060266979944639445
34,7a8766227984,2026-04-14 18:31:54,True,0.8545807600448319,0.0036700782521992565,0.8559089145263279,3.150743007659912,0.18863248825073242,200,14,8,13,log2,0.7749880603151305,0.006254008061442057,0.8545807600448319,0.0036700782521992565,0.8443599117144338,0.004159902055032693,0.828624396348852,0.005914275804922859,0.7470455514530527,0.006154496880799759
35,9eedc22e8223,2026-04-14 18:32:09,True,0.8563006051778507,0.0029848706826719022,0.8588956102787009,2.0433366298675537,0.12809104919433595,125,15,16,9,sqrt,0.7788978282338551,0.005219658634044496,0.8563006051778507,0.0029848706826719022,0.8467118082674739,0.00344000189231827,0.8297245230161924,0.00447360490377664,0.7515744477216901,0.005301589238561991
36,e5746c7f577c,2026-04-14 18:32:19,True,0.8561777173304119,0.0027812395105171923,0.8597094675829704,1.4234159469604493,0.10318989753723144,100,14,12,5,log2,0.7778869190532928,0.004998300122965659,0.8561777173304119,0.0027812395105171923,0.8462445586689867,0.003260128345314743,0.83082622411709,0.0040078565790800874,0.7499696120489073,0.005135299968194045
37,8f84ede29170,2026-04-14 18:32:27,True,0.8451523196283676,0.0031631351878975093,0.8463038582291,1.0096439361572265,0.06475677490234374,100,5,9,14,log2,0.7535201665199118,0.004434691666830625,0.8451523196283676,0.0031631351878975093,0.8314230107906873,0.0031419467397638635,0.8215887060404832,0.008091247119112714,0.7235061959960059,0.003923975419078417
38,1ec1c186e4ba,2026-04-14 18:32:53,True,0.85636198308354,0.003031347221198558,0.8611529123128656,3.541295623779297,0.2204606533050537,200,15,8,6,sqrt,0.7790175338202483,0.005178541764942557,0.85636198308354,0.003031347221198558,0.8467873748804424,0.00343142726250682,0.8298211061812406,0.005004848192297716,0.7517019580948643,0.005248817591757917
39,4406ba3ac762,2026-04-14 18:33:08,True,0.8553178372040648,0.003717893055747251,0.8577592855502996,1.9340692996978759,0.10732989311218262,100,15,4,11,sqrt,0.7771081856381375,0.0063475965289031214,0.8553178372040648,0.003717893055747251,0.8455500215549054,0.004221448461471524,0.8283852416701876,0.005757112524306462,0.749751538849032,0.006282492876673725
40,25dd598ba1d1,2026-04-14 18:33:36,True,0.8585731579743555,0.0028172615868338837,0.8747120748880655,4.061174631118774,0.23665027618408202,200,15,5,1,sqrt,0.7831326989744134,0.0042907235190621255,0.8585731579743555,0.0028172615868338837,0.8494370156326714,0.0029620778015713766,0.8326649032184903,0.005560900777058322,0.7559883423101369,0.004122474896156592
41,836d525bda4d,2026-04-14 18:33:51,True,0.8580511015391256,0.002826213010999396,0.8706351105287965,1.8474584579467774,0.11917409896850586,100,14,6,1,sqrt,0.7812344593085399,0.0050158930794198045,0.8580511015391256,0.002826213010999396,0.8484331443777311,0.003278735969506888,0.8334659562151137,0.004294712595210191,0.7533367614342328,0.005187859686533214
42,42514f3652f6,2026-04-14 18:34:00,True,0.8536593888390296,0.003557507550377058,0.8557783909869163,0.8455309391021728,0.06644015312194824,50,15,13,15,log2,0.773605259164055,0.00639344518636026,0.8536593888390296,0.003557507550377058,0.8433913074419228,0.004172931385097695,0.826845388860351,0.005076906209433584,0.7458729438655857,0.006484529061223444
43,fe0418bff5ab,2026-04-14 18:34:10,True,0.8463500564548468,0.003318211722259203,0.8473173522886324,1.313145923614502,0.07646608352661133,125,5,13,7,sqrt,0.7598780123558709,0.005948617600150906,0.8463500564548468,0.003318211722259203,0.8345739251164608,0.003879032115144944,0.8169534865115062,0.00540297970657644,0.7320022236325892,0.0058743493787436025
44,7a90c9af2fe4,2026-04-14 18:34:17,True,0.8424494990363254,0.0017878754674460712,0.8437701755470671,0.6749612331390381,0.04623322486877442,75,4,5,1,sqrt,0.7405474472777127,0.007399396322506664,0.8424494990363254,0.0017878754674460712,0.8248223678820589,0.0036237017091981737,0.831182027816495,0.010292455259922326,0.7080533465033529,0.00896988850233932
45,58249e7d1b94,2026-04-14 18:34:21,True,0.846350042308126,0.003943625155987481,0.8474632356304879,0.2792623043060303,0.024971389770507814,25,5,17,15,sqrt,0.7596543578941783,0.006011546561556099,0.846350042308126,0.003943625155987481,0.8344821236117405,0.004178503555653753,0.8173539108155264,0.00783060681351056,0.7316100796395337,0.0052215559537081594
46,5097e7158689,2026-04-14 18:34:31,True,0.8495440983464935,0.0036905218582749502,0.8509643409231685,1.3528483867645265,0.08857207298278809,125,6,17,12,log2,0.7651860390607873,0.006652484809945907,0.8495440983464935,0.0036905218582749502,0.8381429105877567,0.004331640883771291,0.8224245233278351,0.005930001686742561,0.7368928771270895,0.00663715445533175
47,baa27d91b902,2026-04-14 18:34:59,True,0.8544579052064082,0.0033101842652580914,0.8557783892183725,3.911195707321167,0.24313139915466309,275,15,17,15,log2,0.7752031185544401,0.005856317859321027,0.8544579052064082,0.0033101842652580914,0.8443946567652979,0.0038484149156343,0.8277339194382716,0.004769347913872432,0.7475743715732408,0.005877296193079193
