job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,alpha,tol,max_iter,fit_intercept,solver,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
0,8b90bc4f630f,2026-04-15 13:10:01,True,0.19354294865072078,0.01676544461966842,0.20094333723663782,0.0025825977325439455,0.00196223258972168,2.25,0.0001,500,False,svd,-0.18125377657325856,0.006150059941467925,-0.38619285822428917,0.003306458230072102,-0.425678238949013,0.00719815660607271
1,823dc7925298,2026-04-15 13:10:02,True,0.2742029890384856,0.03312009031744696,0.2818799030294416,0.12968530654907226,0.002202558517456055,4.35,0.0001,500,True,sag,-0.16313558457517388,0.008745796641374004,-0.3377854724778222,0.008049930536091474,-0.4037533713485251,0.010899527506908655
2,0fb13b32ef30,2026-04-15 13:10:02,True,0.2785720080515923,0.030950098041557256,0.288145916789717,0.0036057949066162108,0.0024371623992919924,1.8,0.01,300,True,auto,-0.16215283458397606,0.008325604701912554,-0.3356873095556339,0.006754346616143243,-0.4025479011369472,0.01039335721577139
3,42833e1c94c9,2026-04-15 13:10:02,True,0.2785720021877402,0.030950097050440634,0.28814591678967394,0.0022580623626708984,0.002208232879638672,1.8,0.0001,100,True,sparse_cg,-0.16215283589299323,0.008325604368564265,-0.33568731450427464,0.006754341136026297,-0.4025479027750344,0.010393356744319295
4,a46a701ccac5,2026-04-15 13:10:02,True,0.19356040423858634,0.016765108841108416,0.20094212139642176,0.0020298480987548826,0.0021271705627441406,3.9,0.01,500,False,svd,-0.1812498311465183,0.006149225536131387,-0.38619793532384505,0.003310423739585027,-0.4256736179825188,0.007197367587598464
5,57865fc82149,2026-04-15 13:10:02,True,0.26924528024363525,0.0320615874654709,0.27666937295624283,0.019745397567749023,0.0026206493377685545,8.7,0.01,300,True,saga,-0.16424798645961874,0.008523186132079544,-0.34016436767441416,0.007805862931318406,-0.4051367778124866,0.010591398554232682
6,451f80544266,2026-04-15 13:10:02,True,0.19355259567257133,0.016765229234218124,0.2009427503853133,0.0018087387084960937,0.001998138427734375,3.15,0.01,300,False,cholesky,-0.18125159624768694,0.006149599512871065,-0.38619563676319313,0.0033086234956706596,-0.4256756853075677,0.007197720862852931
7,0d1b8ee83edf,2026-04-15 13:10:02,True,0.27858905939238277,0.03096614436472605,0.2881439337251983,0.0015813350677490235,0.0026134967803955076,3.0,0.0001,300,True,auto,-0.16214904122808327,0.008328988389556154,-0.3357008737875949,0.006767151453016929,-0.4025430693223309,0.010398007916923314
8,ec89bb86dfb8,2026-04-15 13:10:02,True,0.19069495334982128,0.017167116467589855,0.20030000552899016,0.001199054718017578,0.002573728561401367,7.35,0.0001,300,False,sparse_cg,-0.18189607977161112,0.0062735882980904665,-0.3868810885748076,0.0038324595703463967,-0.426429530670439,0.007344054997091401
9,b31cf860cb47,2026-04-15 13:10:02,True,0.19064202363092625,0.017157448915657663,0.20030255823763815,0.0018347740173339845,0.0019934654235839845,5.1,0.0001,500,False,sparse_cg,-0.18190803763784286,0.006274228889276364,-0.3868832677933623,0.0038325118570357213,-0.42644354229182024,0.00734458136638023
