job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,alpha,tol,max_iter,fit_intercept,solver,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
0,4eef88c20270,2026-04-15 12:34:51,True,0.19214194881993324,0.01770330261469096,0.19780390608963422,0.001604175567626953,0.00222630500793457,7.95,0.0001,500,False,lsqr,-0.18156577455169587,0.006201854003790042,-0.3865487522079282,0.003973829804999114,-0.4260434585552346,0.007262642355917156
1,e92103be4c0d,2026-04-15 12:34:51,True,0.27856068748711954,0.03093999951339594,0.2881466665940925,0.0015067577362060547,0.001729869842529297,1.05,0.001,300,True,sparse_cg,-0.1621553538413863,0.008323469456580686,-0.33567912571052405,0.006746511801602898,-0.40255110619533135,0.010390415886835175
2,6bb3db92bc80,2026-04-15 12:34:51,True,0.26924682072492623,0.03206216333298588,0.27667117885301595,0.01636977195739746,0.002077674865722656,0.6,0.01,500,True,saga,-0.16424764840132644,0.008523460257648743,-0.34016292699391004,0.007806341802792403,-0.40513635164244494,0.01059174108330008
3,56e02bf8d105,2026-04-15 12:34:51,True,0.27214639757222897,0.03356796473386855,0.27954114151260817,0.0019769668579101562,0.00207371711730957,6.15,0.001,100,True,lsqr,-0.1635973403027064,0.008827975387661011,-0.3382818641481792,0.00817605219167045,-0.4043224475238417,0.010986297421637564
4,c3425210674c,2026-04-15 12:34:51,True,0.2786029481529345,0.03098007040073215,0.28814143728516106,0.009411859512329101,0.0021117210388183595,4.05,0.0001,500,True,auto,-0.1621459527083687,0.008331916453547528,-0.33571334153418175,0.006778707405488256,-0.40253912932918273,0.010402022268396942
5,cc38d0016899,2026-04-15 12:34:51,True,0.27266275205441504,0.03354007815705632,0.2804916045022353,0.0991471290588379,0.002341461181640625,6.15,0.001,500,True,saga,-0.16348335321133584,0.008858711374648342,-0.33819870647593514,0.008247710514172309,-0.4041802553943715,0.011030610167909611
6,7da5351d82a6,2026-04-15 12:34:52,True,0.19214190144277093,0.017703940771658308,0.19780390868247602,0.0014032363891601563,0.002565622329711914,6.75,0.001,100,False,lsqr,-0.18156578841640114,0.006202042629013586,-0.38654773194180186,0.003973967641453456,-0.4260434710921005,0.007262861433045966
7,6503b2f00d06,2026-04-15 12:34:52,True,0.27860102017229404,0.030978091073856837,0.28814183626557865,0.0014251708984375,0.0020218372344970705,3.9,0.0001,100,True,sparse_cg,-0.16214638136057807,0.008331500431911063,-0.33571156705138494,0.006777064654894953,-0.4025396764885135,0.0104014524515062
8,fe493ef4eff3,2026-04-15 12:34:52,True,0.2786279767978207,0.03100759926032554,0.28813442762487373,0.0037215709686279296,0.0019692897796630858,6.15,0.01,100,True,svd,-0.16214039056935542,0.008337682123483655,-0.33573781734402997,0.006801462587364044,-0.4025320168038844,0.010409899958825753
9,6dd9da509d62,2026-04-15 12:34:52,True,0.19359511720935288,0.016765223281512323,0.2009374430369541,0.0008659839630126953,0.0016846179962158204,7.5,0.001,100,False,auto,-0.18124198090395524,0.006147545914001094,-0.38620876139282145,0.003319007626915313,-0.42566442361411605,0.007195788575103236
10,e46e74f8ddb9,2026-04-15 12:34:52,True,0.2711030648148946,0.03259193325595981,0.27852377008184753,0.011540412902832031,0.0021741390228271484,6.15,0.01,500,True,sag,-0.16383084605333936,0.008625658751375661,-0.33933696568429755,0.007894956316439588,-0.4046179655154883,0.010730705263238646
11,143e9479a03d,2026-04-15 12:34:52,True,0.2786029481529345,0.03098007040073215,0.28814143728516106,0.0016128063201904298,0.0019251346588134766,4.05,0.0001,500,True,cholesky,-0.1621459527083687,0.008331916453547528,-0.33571334153418175,0.006778707405488256,-0.40253912932918273,0.010402022268396942
