job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
0,1b0b2a0640db,2026-04-15 12:33:21,True,0.7298888304712235,0.009784366593205853,0.74412603388027,9.48738145828247,0.01649646759033203,275,4,0.01,0.7,-0.35953658672987066,0.01281426899489226,-0.43384781478716955,0.0065293413047383805,-0.5995177206065059,0.01072797318463918
1,5cdc7abb5207,2026-04-15 12:33:42,True,0.814404058119021,0.008817007252845541,0.8617714559804759,4.227907037734985,0.010221624374389648,100,6,0.05,0.55,-0.24703302231021068,0.011464069854293909,-0.3363623445800494,0.007487831107744781,-0.4968867969048613,0.011684749541081436
2,8b4a15e4c65a,2026-04-15 12:40:17,True,0.7887178833131866,0.007860564798697085,0.9999999995827954,78.0153230190277,0.21791276931762696,275,14,0.29,0.9,-0.281251218448596,0.010855645914859987,-0.3427947910925028,0.006871433201468178,-0.5302307308237051,0.010324269405417155
3,87ea85a38f6f,2026-04-15 12:41:02,True,0.8165596079497579,0.008194446642803223,0.9808579007092566,8.721871709823608,0.03959879875183105,50,12,0.14,0.5,-0.2441644634444821,0.010664111942251855,-0.3228055944958362,0.006825655288354953,-0.49401262738913976,0.010769745798348886
4,6a944cb8102b,2026-04-15 12:41:13,True,0.6682033375407812,0.011569388546194813,0.6798647167615003,2.1786544799804686,0.009287643432617187,25,4,0.07,0.65,-0.44162051650838025,0.014418787395302092,-0.4969993977370759,0.006326154960400798,-0.6644565248609757,0.010864763138504442
5,3cb4dfb2d802,2026-04-15 12:45:36,True,0.8047020631078965,0.007919667100913241,0.9596771163447059,52.055648231506346,0.1348146915435791,225,12,0.01,0.9,-0.25993210955259827,0.00982368751502748,-0.34731937807687896,0.00592828546742425,-0.5097425278013071,0.009729589062844603
6,38af1543b728,2026-04-15 12:47:49,True,0.7993760698986156,0.0078019106178107145,0.9999750865211624,26.31722683906555,0.07742199897766114,100,14,0.21,0.9,-0.2670363186492066,0.010026229160970266,-0.33069330328636815,0.006497402449583627,-0.5166634486753251,0.009757020658294384
7,e00c4e739189,2026-04-15 12:49:27,True,0.8412266152533793,0.00665447218027713,0.9447157335514034,19.49168610572815,0.030821704864501955,175,6,0.15,0.95,-0.21132769232036536,0.008499178358324476,-0.30188623951849125,0.005882493175729284,-0.45961005364893326,0.009289289810854291
8,c5d13d5cecc2,2026-04-15 12:50:20,True,0.7668930548244253,0.009074409181543997,0.9999755685581615,10.310743379592896,0.056788969039916995,125,15,0.28,0.5,-0.31029579802630536,0.012303310691706091,-0.37324157160384874,0.007661672277975172,-0.5569303345196397,0.011153498022933474
9,1dc8ced7e6ba,2026-04-15 12:51:03,True,0.8126645790725242,0.006855341678658733,0.999374122336955,8.346124505996704,0.02731351852416992,75,14,0.14,0.75,-0.2493699791349835,0.009334635034903374,-0.3214486998813376,0.005395375000373826,-0.4992817726743647,0.009364326464165896
10,87d52d675a02,2026-04-15 12:51:40,True,0.8185119243093426,0.0082451329070576,0.8634795140724558,7.452123594284058,0.015538740158081054,125,5,0.07,0.75,-0.24156799474524945,0.01077310459140348,-0.3327382062901769,0.006683623734301993,-0.4913713022135644,0.011056134324232407
11,9bee7e05223b,2026-04-15 12:52:00,True,0.7932358316809468,0.010176855099686303,0.8172991807117891,3.8234190464019777,0.013640308380126953,50,4,0.13,0.55,-0.27520920115919534,0.013299900450582979,-0.36130262538225705,0.0071811105113384005,-0.5244482786728596,0.012775138209429215
12,065afe962508,2026-04-15 12:53:11,True,0.8276734185541235,0.008608705984388515,0.9828554739054078,14.25703125,0.028307390213012696,150,8,0.2,0.7,-0.2293100838615933,0.009786598769782743,-0.3127100686614043,0.004804587184727629,-0.47875250885959525,0.010301413603794513
13,b328a0f30ea6,2026-04-15 12:53:34,True,0.8041202274416742,0.00908845001441166,0.9961043868070565,4.472050476074219,0.01967730522155762,25,14,0.15,0.9,-0.2607520084416058,0.01247905793531727,-0.3313998826135557,0.007602550497610869,-0.5104890781775147,0.012365658214473831
14,ff82bc660263,2026-04-15 12:54:18,True,0.750667351251205,0.007398040902869237,0.8324787914376497,8.719660663604737,0.022118616104125976,50,9,0.03,0.9,-0.33187084181700294,0.009324870446835372,-0.42089837535728086,0.0040276821597537826,-0.5760248431494371,0.008137683433834137
15,bf6de5989bac,2026-04-15 12:56:49,True,0.8112885938059959,0.006553784206143316,0.9998921450767089,29.841704607009888,0.07556734085083008,125,13,0.2,0.75,-0.25124388401991116,0.010117800175190213,-0.3261165168002946,0.006026568939622864,-0.5011399045267122,0.010133119503341852
16,62bb70a64189,2026-04-15 12:58:19,True,0.8216553166518,0.009126132441507428,0.9660113095051954,17.736218452453613,0.04311656951904297,250,6,0.23,0.55,-0.23735426803922416,0.011349557273248052,-0.32304583227660133,0.006973152494939993,-0.4870485886768184,0.011744799152969937
17,0b09520c513f,2026-04-15 12:58:42,True,0.7953288152108257,0.00549692183678309,0.9512131641687702,4.547931766510009,0.021910858154296876,25,13,0.08,0.7,-0.2724279928695973,0.0069701224813404255,-0.3601093334315177,0.004888543315267641,-0.5219032374655442,0.006708471702339853
18,c1d48bc3c17f,2026-04-15 12:58:59,True,0.8112586426073852,0.007372213264423605,0.8987725020567238,3.20048508644104,0.011571311950683593,50,6,0.28,0.55,-0.25125188260640025,0.010320144924713007,-0.33386666138463544,0.00798598872965246,-0.5011436692504454,0.01033950562649642
19,19d671eb8872,2026-04-15 13:01:20,True,0.8420936220956279,0.007730088263135933,0.9656804283349223,28.086750316619874,0.060280895233154295,175,7,0.15,1.0,-0.21013805683304626,0.009154413055940789,-0.298981368970886,0.005589818438857499,-0.4582968167901854,0.010103690069942578
20,bb9cebd58a80,2026-04-15 13:02:41,True,0.8304669197253377,0.008990329565486694,0.8977507815652652,16.034349727630616,0.032138824462890625,150,5,0.12,0.75,-0.22562808742174517,0.011255985268671626,-0.31593842288148827,0.00732635539400968,-0.47485136608495254,0.01201114270165388
21,0879d9a6fba3,2026-04-15 13:05:05,True,0.8049851480119475,0.007600215827773705,0.9991163207064091,28.604443979263305,0.05428371429443359,100,13,0.09,1.0,-0.25952437147839535,0.008397066263638625,-0.32516064319103366,0.005141536863258712,-0.5093673244247572,0.008324679378777363
22,6818780f45de,2026-04-15 13:07:39,True,0.834849540450423,0.007921407250007208,0.9136862209004759,30.46178617477417,0.04423928260803223,275,4,0.2,1.0,-0.219853953073697,0.011079673561925622,-0.3111854477555911,0.00758513210614878,-0.4687395349574485,0.011713301907312646
23,ce6f39b6d62d,2026-04-15 13:08:32,True,0.8077289367880329,0.008199844426477053,0.9948837384194151,10.591162109375,0.028949260711669922,75,11,0.24,0.65,-0.2559361944965758,0.011049062604082088,-0.33306451932093734,0.009306923731817712,-0.5057815177523619,0.011011393948680679
24,eef206e555cc,2026-04-15 13:09:00,True,0.8322954516085403,0.00767961211783144,0.9820629397600932,5.4344347476959225,0.01701512336730957,75,10,0.13,0.7,-0.2232318286219928,0.01024121900665383,-0.3077343705654374,0.0062254595699291655,-0.47234793570142164,0.01092045148326945
25,df293cde7b66,2026-04-15 13:12:26,True,0.808049672758386,0.008546042271005378,0.9999997963613202,40.523414850234985,0.12912273406982422,275,14,0.18,0.65,-0.25550091108379147,0.011330965515639087,-0.3289793792555085,0.007937085826849417,-0.5053454894546494,0.011262653845004715
26,eb7877c7a258,2026-04-15 13:14:17,True,0.7952631670682491,0.009812232704572052,0.9954620142469471,21.821466779708864,0.07060275077819825,275,8,0.27,0.5,-0.27248834933874466,0.012167016025779576,-0.35070664614924707,0.0066911252751505786,-0.5218727607026336,0.011712001338647207
27,942caa427985,2026-04-15 13:15:04,True,0.8093410221075417,0.010362916404658626,0.8433097480709671,9.462205028533935,0.022856521606445312,100,3,0.26,0.75,-0.2537524917477173,0.013187217622778098,-0.3443712754482743,0.008366613150207498,-0.5035675198449809,0.013124203019308391
28,a2e4ed75b2b2,2026-04-15 13:17:31,True,0.8276942245651073,0.0071273887501508365,0.8969287631657241,29.048196601867676,0.059661483764648436,175,7,0.03,0.65,-0.2293140033164363,0.008416086121110757,-0.3198745349766693,0.005751540358428761,-0.47878515722158677,0.008875614949783076
29,fd74df4ad1b1,2026-04-15 13:24:38,True,0.8204695732919403,0.006454634594770467,0.9999814870738215,83.84371891021729,0.3344409942626953,250,14,0.11,0.65,-0.23897634611747595,0.008715844318476275,-0.31498970705973744,0.005809535052507293,-0.4887692779725823,0.008996612008776496
30,b35d7b1f68e5,2026-04-15 13:32:28,True,0.8327651931119167,0.006717644337798886,0.998462756239961,92.70330748558044,0.23866596221923828,275,10,0.13,1.0,-0.22256009937977667,0.007652041953172168,-0.30392459968277147,0.004684903248568511,-0.47169192140835986,0.008175002010172695
31,624ada5d8447,2026-04-15 13:34:47,True,0.8315720155543044,0.008382862382677507,0.8959192047796583,27.64045615196228,0.07234735488891601,200,5,0.09,0.6,-0.22418456270128662,0.011003442750590448,-0.3160929520238419,0.006754515574190213,-0.4733366317419957,0.0117045184620688
32,6cd806c90655,2026-04-15 13:38:38,True,0.8027306575973174,0.007123371192597439,0.9999574869302604,45.612795782089236,0.09906425476074218,100,14,0.18,0.9,-0.26263622472184084,0.01086292328673151,-0.32850117459380157,0.007773560662118743,-0.5123698376167847,0.01064773320432767
33,dab84cca57a2,2026-04-15 13:43:08,True,0.8031120975691186,0.0064546611578497875,0.9999784418224202,53.33663387298584,0.17939558029174804,125,14,0.19,0.8,-0.2620805713499325,0.00871023241277488,-0.32934966262690235,0.005719186799255176,-0.511866194801436,0.008577293829112282
34,63fdb15dd178,2026-04-15 13:47:53,True,0.8378421985603186,0.00819250747917242,0.993116537030122,56.17719669342041,0.13839502334594728,250,9,0.12,0.65,-0.21582988605660866,0.01047536880758553,-0.3020315987336009,0.006326151602861012,-0.4644359887347659,0.011362148765486524
35,7a7932f2783c,2026-04-15 13:49:28,True,0.817840438306705,0.008915406656048768,0.9880167764627308,18.71373906135559,0.0829132080078125,75,11,0.16,0.55,-0.24239011238863378,0.009974523872555081,-0.3210930848543917,0.005448686538385046,-0.49222433378953034,0.01026243704422901
36,09f62b4058c0,2026-04-15 13:49:40,True,0.6003634614967679,0.009348055319121952,0.6108960419813524,2.4975473403930666,0.007935190200805664,25,4,0.05,1.0,-0.5319744180363034,0.013262311200679106,-0.5586628005491497,0.005173952278416469,-0.7293090899746976,0.009092266856058462
37,ef292ce63c6a,2026-04-15 13:51:26,True,0.7985994365918963,0.005669337751812006,0.9999642541811529,20.79718041419983,0.0713780403137207,75,15,0.22,0.8,-0.2681537375106374,0.009774803980103618,-0.3372216805796973,0.006301083598610648,-0.5177497822769809,0.009428704193922941
38,3bb9f46199d0,2026-04-15 13:53:29,True,0.8311160586813532,0.006100457468651668,0.8925173113331251,24.31878924369812,0.04893560409545898,250,4,0.13,0.8,-0.22480061975600507,0.008150598677290863,-0.3165270827389778,0.0063065771868866406,-0.4740537702699723,0.008581529515735218
39,76d07376bdfc,2026-04-15 13:57:25,True,0.8260952951298821,0.008576026461634523,0.9991052401345701,46.709004926681516,0.12721753120422363,250,10,0.17,0.7,-0.23145837982145837,0.010812917693109686,-0.3138860962627468,0.006455396727932951,-0.4809688116906264,0.011286363558080405
40,1965ed057f23,2026-04-15 13:58:35,True,0.8163993752142463,0.009940955617072839,0.8661511177910748,13.839769983291626,0.03328661918640137,225,3,0.22,0.55,-0.244399088904575,0.013395167196181603,-0.3356009408980344,0.007535276261051562,-0.49417797946465747,0.013682599051478755
41,e8b7cc40dfc9,2026-04-15 14:04:31,True,0.8103881473117784,0.005705730462034484,0.9999830563116484,70.27848148345947,0.17599883079528808,275,11,0.25,0.7,-0.25235352144564305,0.006166551970737224,-0.33104431571284987,0.004648710657825179,-0.5023099501138362,0.00618348302160438
42,39cbf3df6dca,2026-04-15 14:09:09,True,0.8433752087658629,0.0075846942699114035,0.9574989828767363,54.93666048049927,0.21571197509765624,275,8,0.04,0.7,-0.2084504268469094,0.00936627885440959,-0.29664724528444497,0.0062396114378601986,-0.45644657578944414,0.010341677668570817
43,9e120b8b4d1e,2026-04-15 14:10:44,True,0.8289225595693968,0.00669996624295912,0.9064478839716698,18.658108520507813,0.050578737258911134,175,5,0.15,0.5,-0.22769174321867852,0.008112996011788706,-0.31840479865508997,0.0058767741400830315,-0.47709345234199285,0.008577933963205553
44,c22ecc849ee0,2026-04-15 14:16:20,True,0.8122045698112708,0.007126012994592457,0.9999950779723218,66.54094047546387,0.1437009811401367,300,14,0.09,0.9,-0.2499550532529049,0.008954223093271062,-0.3196518963772922,0.0065691476364933285,-0.4998731502955806,0.009049136228212129
45,f163ab4d9329,2026-04-15 14:17:05,True,0.7801608043579481,0.00838869351840278,0.9938195851523265,8.901438283920289,0.03288674354553223,75,11,0.3,0.55,-0.2925558591002,0.009023901047220938,-0.36150399122316695,0.005375733272379946,-0.5408195163460492,0.00837316185352785
