job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,fefbec9ff43c,2026-04-15 17:43:54,True,0.8708958497850311,0.022812200901830816,0.8989681532841927,0.5129598140716553,0.034067964553833006,275,4,0.01,0.9,0.7,3,0,0.8148519843382914,0.03678066691509731,0.8708958497850311,0.022812200901830816,0.8634698687667207,0.025826083581906405,0.8602413417774043,0.028773157931822477,0.7897912613509463,0.03894815052377553,0.9155447239499679,0.02309976946393267
1,eeae8d80ea43,2026-04-15 17:43:56,True,0.8540844081775907,0.015926319078634416,0.9996179560649475,0.3229365825653076,0.03144426345825195,300,4,0.22,0.7,0.9,1,0,0.8056523931919743,0.023139534210118204,0.8540844081775907,0.015926319078634416,0.8519774430621411,0.01681308148184953,0.8149113108713403,0.020625026422994023,0.7981754582353073,0.025023444587688824,0.9040682757845916,0.021483008676447424
2,53b979f538da,2026-04-15 17:43:57,True,0.864783130063467,0.012439130564880593,0.8825440918071991,0.06731581687927246,0.03055582046508789,50,6,0.08,0.7,0.7,11,0,0.8052950958297596,0.0201357989155556,0.864783130063467,0.012439130564880593,0.8566674495118136,0.014005083610393517,0.8546949443063291,0.01938682304645956,0.7790296471273125,0.022047960428758007,0.911176327257713,0.017884074744481983
3,65113877c8cb,2026-04-15 17:43:58,True,0.8655377146032581,0.021566221922408837,0.9755533804326427,0.20079703330993653,0.030362367630004883,100,10,0.19,0.9,0.7,3,0,0.8183774786817182,0.030286417174068683,0.8655377146032581,0.021566221922408837,0.862531883660032,0.022432099726578687,0.8346065192283907,0.02933975144255956,0.8069238626444136,0.032422008042832684,0.9149725682001689,0.02177920683328882
4,74e297d24965,2026-04-15 17:44:00,True,0.8663039981281623,0.01762211112288754,0.9631402334550916,0.37300934791564944,0.03175740242004395,150,7,0.05,0.7,0.9,1,0,0.8174931079187528,0.027577296641244822,0.8663039981281623,0.01762211112288754,0.8625538660922144,0.019430142514314252,0.8371306355627824,0.02194243401934475,0.8036135412028917,0.030742780894105065,0.9182906959752198,0.02348257208077413
5,310aa7ff003c,2026-04-15 17:44:02,True,0.864783130063467,0.01220265557004266,0.968677683238916,0.19694600105285645,0.03298420906066894,175,4,0.12,0.9,0.9,1,0,0.8182118893314504,0.017080676492902642,0.864783130063467,0.01220265557004266,0.8621367718995758,0.012631674100516289,0.8323223028876072,0.017931948267345756,0.807390177512632,0.01794882375518282,0.9161852798938858,0.019201736554451555
6,a0f42a2ccac1,2026-04-15 17:44:03,True,0.8632476382673803,0.012938601527777966,0.9497699716383414,0.21194305419921874,0.03132853507995605,225,4,0.3,0.9,0.7,9,0,0.8164800948667281,0.018358795591504645,0.8632476382673803,0.012938601527777966,0.8607151176311693,0.013320734961325215,0.8298919859863021,0.019680628804958123,0.80631662393163,0.01905645894503034,0.9096378175454138,0.02215477875306698
7,043d09ea695c,2026-04-15 17:44:05,True,0.8647802053171887,0.012702613171353102,0.9476700059056409,0.22150087356567383,0.028165435791015624,275,12,0.29,0.9,0.7,11,0,0.8200306204599581,0.017480714764058193,0.8647802053171887,0.012702613171353102,0.8628671642555314,0.012861522223010687,0.830623943461131,0.02079621418158652,0.8120991896850477,0.018615376443124984,0.9089400472218856,0.021922126729440116
8,a81c3a33d51b,2026-04-15 17:44:05,True,0.8647772805709104,0.02143324117002921,0.9108100570878628,0.1013005256652832,0.03201627731323242,25,13,0.08,0.9,0.7,3,0,0.7994451377615374,0.03557852498162029,0.8647772805709104,0.02143324117002921,0.8540752552608872,0.02486757282227614,0.86604223856814,0.027506897592971626,0.7686298439967372,0.03541440310661726,0.9073370023442454,0.02307110964034307
9,cee68d9405b1,2026-04-15 17:44:07,True,0.8693574332426662,0.012262539323263074,0.9604657436368541,0.226417875289917,0.02961111068725586,175,7,0.15,0.9,0.7,5,0,0.8249687772490407,0.017244072932780508,0.8693574332426662,0.012262539323263074,0.8670253574996611,0.012685562508333362,0.8382799741643396,0.017504793480876604,0.8152106152656774,0.020171224566521487,0.9159378998369425,0.021487897188155473
