job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,1a259f0403b7,2026-04-14 15:47:12,True,0.9970000000000001,0.0040000000000000036,0.999,0.098838472366333,0.018807125091552735,275,4,0.01,1.0,1.0,1,0,0.9964109956675469,0.004799786603388775,0.9970000000000001,0.0040000000000000036,0.9969924831627488,0.004016104277058671,0.9969522050334796,0.003750581398238971,0.9959523809523809,0.006459361888690708,0.9999166666666668,0.00013883218797249865
1,dbdbf2693a04,2026-04-14 15:47:13,True,0.9970000000000001,0.0040000000000000036,1.0,0.10319032669067382,0.024609470367431642,300,4,0.22,1.0,1.0,1,0,0.9964341783989878,0.004759113662731177,0.9970000000000001,0.0040000000000000036,0.9970023401167097,0.003998832509339001,0.9959797033567526,0.005061534762668943,0.9969047619047618,0.004616837959444107,0.9999523809523809,5.832118435198566e-05
2,ef6ebbf9651b,2026-04-14 15:47:13,True,0.9970000000000001,0.0040000000000000036,1.0,0.030788516998291014,0.024506664276123045,50,6,0.08,1.0,1.0,1,0,0.9964109956675469,0.004799786603388775,0.9970000000000001,0.0040000000000000036,0.9969924831627488,0.004016104277058671,0.9969522050334796,0.003750581398238971,0.9959523809523809,0.006459361888690708,0.9999642857142857,4.7619047619029684e-05
3,c1a616f68084,2026-04-14 15:47:14,True,0.9970000000000001,0.0040000000000000036,1.0,0.08912906646728516,0.02581367492675781,200,12,0.09,1.0,1.0,1,0,0.9964341783989878,0.004759113662731177,0.9970000000000001,0.0040000000000000036,0.9970023401167097,0.003998832509339001,0.9959797033567526,0.005061534762668943,0.9969047619047618,0.004616837959444107,0.9999523809523809,5.832118435201286e-05
4,716ba47356d6,2026-04-14 15:47:15,True,0.998,0.00244948974278318,1.0,0.06282186508178711,0.026225566864013672,125,5,0.07,1.0,1.0,1,0,0.9976302615598804,0.0029023250010760467,0.998,0.00244948974278318,0.9980046802334192,0.002443757650906077,0.9967213114754099,0.004015556955382264,0.9985714285714286,0.0017496355305594068,0.9999285714285714,9.523809523814819e-05
5,d7818960802d,2026-04-14 15:47:15,True,0.9970000000000001,0.0040000000000000036,1.0,0.026981449127197264,0.02469358444213867,50,8,0.28,1.0,1.0,1,0,0.9964341783989878,0.004759113662731177,0.9970000000000001,0.0040000000000000036,0.9970023401167097,0.003998832509339001,0.9959797033567526,0.005061534762668943,0.9969047619047618,0.004616837959444107,0.9999523809523809,5.832118435198566e-05
6,ff7d92216772,2026-04-14 15:47:16,True,0.998,0.00244948974278318,1.0,0.08284969329833984,0.024605321884155273,225,4,0.3,1.0,1.0,1,0,0.9976302615598804,0.0029023250010760467,0.998,0.00244948974278318,0.9980046802334192,0.002443757650906077,0.9967213114754099,0.004015556955382264,0.9985714285714286,0.0017496355305594068,0.9999523809523809,5.832118435201286e-05
7,e642fd440fd3,2026-04-14 15:47:16,True,0.9970000000000001,0.0040000000000000036,1.0,0.08650031089782714,0.023490285873413085,250,6,0.23,1.0,1.0,1,0,0.9964341783989878,0.004759113662731177,0.9970000000000001,0.0040000000000000036,0.9970023401167097,0.003998832509339001,0.9959797033567526,0.005061534762668943,0.9969047619047618,0.004616837959444107,0.9999523809523809,5.832118435198566e-05
8,9451a7cc5239,2026-04-14 15:47:17,True,0.9970000000000001,0.0040000000000000036,1.0,0.024259662628173827,0.02372322082519531,50,6,0.28,1.0,1.0,1,0,0.9964341783989878,0.004759113662731177,0.9970000000000001,0.0040000000000000036,0.9970023401167097,0.003998832509339001,0.9959797033567526,0.005061534762668943,0.9969047619047618,0.004616837959444107,0.9999523809523809,5.832118435198566e-05
9,733913ab4465,2026-04-14 15:47:18,True,0.9970000000000001,0.0040000000000000036,1.0,0.11057615280151367,0.025089788436889648,275,8,0.06,1.0,1.0,1,0,0.9964341783989878,0.004759113662731177,0.9970000000000001,0.0040000000000000036,0.9970023401167097,0.003998832509339001,0.9959797033567526,0.005061534762668943,0.9969047619047618,0.004616837959444107,0.9999523809523809,5.832118435195847e-05
