job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
12,5f6397b12b04,2026-07-30 20:26:10,True,0.767,0.02135415650406264,1.0,0.3318784236907959,0.033353567123413086,6.708002855929756e-07,1.0364276907627117e-05,125,12,0.07,1.0,1.0,1,0,0.6896178806167299,0.03142517602667522,0.767,0.02135415650406264,0.7514960132702507,0.02376580297172826,0.7313694941551059,0.036317213992758085,0.6764285714285714,0.030139509330374622,0.8031428571428572,0.02108784671111692
13,7057423b3109,2026-07-30 20:26:16,True,0.768,0.012489995996796807,0.98675,0.11048245429992676,0.03322334289550781,3.133503795333954e-07,4.8414560523379886e-06,125,3,0.26,1.0,1.0,1,0,0.6970442968034762,0.017827807793790694,0.768,0.012489995996796807,0.7555665312763273,0.013053087904514225,0.7300208217633314,0.020733388614166733,0.6847619047619048,0.01917221156114037,0.7997619047619048,0.02127204738618265
14,bccf01c303a6,2026-07-30 20:26:24,True,0.765,0.022135943621178676,1.0,0.384747314453125,0.034185361862182614,7.433792489251975e-07,1.1485666522091438e-05,175,9,0.07,1.0,1.0,1,0,0.6915049911337141,0.032828257262709944,0.765,0.022135943621178676,0.7515946649583725,0.024682537874772193,0.7260352459418089,0.034501453729876334,0.6797619047619048,0.03303437363217052,0.8034285714285714,0.024273035906306466
15,d7ac0404d79b,2026-07-30 20:26:32,True,0.765,0.01923538406167136,1.0,0.27694106101989746,0.031011533737182618,5.85608029993549e-07,9.048004171342746e-06,125,10,0.07,1.0,1.0,1,0,0.6844778028834007,0.034926231740383014,0.765,0.01923538406167136,0.7480945949093246,0.02477617425366067,0.7278783704807934,0.028149264259855294,0.6721428571428572,0.0346230101878378,0.7993809523809524,0.025415526348904035
16,ebf404fce983,2026-07-30 20:26:39,True,0.76,0.015491933384829681,0.992,0.10896320343017578,0.03467297554016113,2.968773231159954e-07,4.586937200912673e-06,125,3,0.29,1.0,1.0,1,0,0.6924645222116752,0.01630245828130722,0.76,0.015491933384829681,0.7500208051118523,0.01389660861583235,0.7167855378125398,0.02629917723736806,0.681904761904762,0.01554745496887097,0.7990714285714287,0.019520673383426206
17,6ac070837e32,2026-07-30 20:26:46,True,0.785,0.017606816861659026,0.907,0.11423521041870117,0.031069087982177734,3.3902958085090674e-07,5.238215503604653e-06,125,4,0.08,1.0,1.0,1,0,0.6973303685996484,0.03279016530433144,0.785,0.017606816861659026,0.7623957485647506,0.023268479797329513,0.7769553665497226,0.03274994148077732,0.6797619047619048,0.03018273898151568,0.7866309523809525,0.03036189505287536
18,d53f6f6419ed,2026-07-30 20:26:53,True,0.7590000000000001,0.017146428199482262,0.97625,0.09572157859802247,0.03221054077148437,2.805703701883701e-07,4.3349847505463955e-06,125,3,0.22,1.0,1.0,1,0,0.6834890744324118,0.02848721667992063,0.7590000000000001,0.017146428199482262,0.7451585558132562,0.020422690768888592,0.7164316073716679,0.023816702209364084,0.6726190476190477,0.02895574855101591,0.7941428571428573,0.020810722423800086
19,716ba47356d6,2026-07-30 20:27:00,True,0.7829999999999999,0.01630950643030006,0.94025,0.15113410949707032,0.0336247444152832,3.6053089266821716e-07,5.570423992983647e-06,125,5,0.07,1.0,1.0,1,0,0.6972881130162154,0.034153172315859216,0.7829999999999999,0.01630950643030006,0.7615371739963057,0.02323805764461901,0.7709991609083323,0.025668938287682196,0.6811904761904761,0.03208018581609943,0.7945,0.029241003422918632
20,af3b30fdbac5,2026-07-30 20:27:10,True,0.759,0.019849433241279225,1.0,0.6868503093719482,0.035022926330566403,1.2848634156238516e-06,1.985192987244106e-05,300,11,0.07,1.0,1.0,1,0,0.688716497763288,0.0277012322576556,0.759,0.019849433241279225,0.7477567035155306,0.021249712014199163,0.7150926496480406,0.029242056665311673,0.6783333333333333,0.028004291864137436,0.8017142857142858,0.019267569359546693
21,0689bd768f7b,2026-07-30 20:27:18,True,0.778,0.020149441679609904,0.9957499999999999,0.20086021423339845,0.031810855865478514,4.468603451501254e-07,6.9042671203988325e-06,125,7,0.07,1.0,1.0,1,0,0.6989459645626425,0.029914301173872754,0.778,0.020149441679609904,0.760535470929703,0.022430489091107873,0.75466415755418,0.04040166249592126,0.6833333333333333,0.028362330100107812,0.7997142857142857,0.022601195962977653
22,9f7020ecd466,2026-07-30 20:27:25,True,0.805,0.02645751311064589,0.819,0.08890461921691895,0.029608678817749024,2.6219895180732755e-07,4.051135039423092e-06,100,3,0.07,1.0,1.0,1,0,0.7036733525430222,0.04955874519839533,0.805,0.02645751311064589,0.7729410028660645,0.03580147123355914,0.86286230920308,0.035341295527524096,0.6816666666666666,0.0409329965196983,0.7843928571428571,0.03139963946093398
23,a92a86339d5c,2026-07-30 20:27:32,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.02690572738647461,0.02966651916503906,1.593881041403891e-07,2.462644221494946e-06,25,3,0.07,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8094523809523808,0.023689949742894397
24,a6339c4fe82d,2026-07-30 20:27:39,True,0.8080000000000002,0.025019992006393585,0.8112499999999999,0.11620826721191406,0.030794858932495117,3.070034796193325e-07,4.74339254576659e-06,125,4,0.03,1.0,1.0,1,0,0.7042438960486475,0.04959498835600151,0.8080000000000002,0.025019992006393585,0.7742647777311886,0.03538351583531844,0.8835803954933248,0.019480926412210536,0.6819047619047618,0.04076507553310746,0.7925833333333333,0.035773395528861954
25,22f378c70151,2026-07-30 20:27:47,True,0.806,0.027820855486487092,0.8237500000000001,0.173260498046875,0.03323273658752442,4.01833629537108e-07,6.208576675899748e-06,175,4,0.03,1.0,1.0,1,0,0.7044201999441259,0.05244115495822896,0.806,0.027820855486487092,0.7736780545149993,0.03781778917804516,0.8675918794074489,0.039166418491365936,0.6823809523809524,0.042972068131005556,0.7864285714285714,0.029760738072370528
26,844845f96d03,2026-07-30 20:27:56,True,0.808,0.027129319932501048,0.8320000000000001,0.21651945114135743,0.03740634918212891,4.690907061565723e-07,7.247739868064199e-06,200,4,0.03,1.0,1.0,1,0,0.7099258585040467,0.04951624558144427,0.808,0.027129319932501048,0.7773548622503502,0.03601124850744826,0.8642156022896543,0.037300657349228154,0.6866666666666668,0.040869240078333965,0.7858333333333334,0.029233136115810982
27,a35829cc7b8f,2026-07-30 20:28:05,True,0.796,0.01496662954709575,0.8790000000000001,0.27303404808044435,0.03077397346496582,5.749535269599397e-07,8.883385547699994e-06,300,4,0.03,1.0,1.0,1,0,0.7078865136256559,0.03196998277346347,0.796,0.01496662954709575,0.7719909192070177,0.022181042612533477,0.8037726800583644,0.017021334327603582,0.6876190476190477,0.028863585639412832,0.7849047619047619,0.02933227038890448
28,f98b1840a062,2026-07-30 20:28:13,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.053238630294799805,0.02015862464904785,1.2678287740701189e-07,1.9588734185323864e-06,25,4,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8056785714285715,0.023210396499606246
29,3bbd104bdbe6,2026-07-30 20:28:20,True,0.8100000000000002,0.024083189157584565,0.8102499999999999,0.02984309196472168,0.018710756301879884,1.1549703962502307e-07,1.7845002848004986e-06,25,7,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7991785714285713,0.029836463750937348
30,7aff960f3309,2026-07-30 20:28:27,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.017948007583618163,0.016745471954345705,9.287882920880577e-08,1.435035025253944e-06,25,5,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7961904761904762,0.03772926890924741
31,8befefee1d70,2026-07-30 20:28:34,True,0.808,0.028390139133156758,0.85025,0.05943517684936524,0.017120170593261718,1.609820196077254e-07,2.487271195611721e-06,25,14,0.03,1.0,1.0,1,0,0.7086128235582483,0.05278746702408223,0.808,0.028390139133156758,0.7766433076821357,0.03824351026683127,0.8664501976694929,0.035150174545153706,0.6857142857142857,0.043428728069892945,0.8151071428571429,0.033020951227283636
32,fe2cecb1b2e1,2026-07-30 20:28:41,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.015543985366821288,0.01741137504577637,9.250027241612035e-08,1.429186090021028e-06,25,3,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8057023809523809,0.023206207385621836
33,42619bc972cd,2026-07-30 20:28:47,True,0.8099999999999999,0.024083189157584565,0.8487500000000001,0.051311922073364255,0.01780228614807129,1.4616981319877034e-07,2.258413498123366e-06,25,13,0.03,1.0,1.0,1,0,0.7127756326643977,0.04658756647322333,0.8099999999999999,0.024083189157584565,0.7795764646330156,0.03341809899794969,0.8690849420807869,0.022643252542071064,0.6890476190476191,0.038776643974354374,0.8209166666666666,0.03374023752314012
34,e790bb28c1db,2026-07-30 20:28:54,True,0.8100000000000002,0.024083189157584565,0.8102499999999999,0.054595327377319335,0.017201709747314452,1.7030925335372978e-07,2.6313826925832807e-06,150,3,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7899166666666667,0.03748163949615505
35,4ddfc46e9bc4,2026-07-30 20:29:00,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.023863458633422853,0.016399908065795898,1.0043582268317412e-07,1.5517952214548876e-06,50,3,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8095714285714285,0.02344767900653814
36,4ef3c25269e2,2026-07-30 20:29:07,True,0.804,0.025573423705088832,0.8167500000000001,0.1154515266418457,0.022748327255249022,2.7496176527398627e-07,4.248328355719778e-06,225,3,0.03,1.0,1.0,1,0,0.7013184850984663,0.04993236345065609,0.804,0.025573423705088832,0.7713132644657034,0.03570460671048495,0.863065200805879,0.031171086384764794,0.6799999999999999,0.04127640362966038,0.7802857142857145,0.031799007386210984
37,21c99003cab2,2026-07-30 20:29:15,True,0.812,0.025416530054277645,0.8422499999999999,0.07053551673889161,0.022983694076538087,1.8895580060244374e-07,2.9194833138971003e-06,25,12,0.03,1.0,1.0,1,0,0.7110492277341836,0.05158854775800087,0.812,0.025416530054277645,0.7793046180123934,0.03660674517846157,0.8906287818328934,0.014066866704031443,0.6876190476190477,0.042328753300907324,0.8166904761904762,0.0309483651241043
38,1fe13fdc1efa,2026-07-30 20:29:24,True,0.8030000000000002,0.025806975801127868,0.82725,0.16665434837341309,0.025370454788208006,3.679509770507231e-07,5.685068859525809e-06,275,3,0.03,1.0,1.0,1,0,0.7029337111999332,0.047438256482979405,0.8030000000000002,0.025806975801127868,0.7718568228957293,0.03440413246923583,0.8521160229211796,0.03973699994085318,0.6811904761904761,0.03952237518912002,0.7808928571428572,0.027771847439521984
39,3d4a9ef58303,2026-07-30 20:29:31,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.026819419860839844,0.02103734016418457,1.1859787805364291e-07,1.8324101453212316e-06,25,6,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7891309523809524,0.03819901415664652
40,0b55fbf5c739,2026-07-30 20:29:39,True,0.8110000000000002,0.024372115213907856,0.81425,0.05741672515869141,0.02638669013977051,1.700572455965316e-07,2.62748901776744e-06,25,8,0.03,1.0,1.0,1,0,0.7081757631629453,0.049502025258121495,0.8110000000000002,0.024372115213907856,0.7774117493335634,0.03513156214762886,0.8939999054005396,0.010913664498775831,0.6849999999999999,0.040620192023179826,0.7956547619047619,0.02340840692441988
41,ce387daf43b2,2026-07-30 20:29:47,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.0727771282196045,0.028612089157104493,1.8656339410561598e-07,2.882519162358599e-06,75,3,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8035238095238094,0.0309028312185836
42,712b338dea55,2026-07-30 20:29:57,True,0.807,0.024207436873820383,0.85375,0.11679587364196778,0.029070663452148437,2.5987093634765866e-07,4.015165769004675e-06,25,15,0.03,1.0,1.0,1,0,0.7064426158709807,0.04796727203579926,0.807,0.024207436873820383,0.7751132072481722,0.03418938516141355,0.8685586157969549,0.024083496739879504,0.6840476190476191,0.039830992160727524,0.815702380952381,0.033668013713200995
43,9495c5f35c42,2026-07-30 20:30:05,True,0.8110000000000002,0.024372115213907856,0.818,0.04574604034423828,0.02288818359375,1.5909986704923822e-07,2.458190781191032e-06,25,9,0.03,1.0,1.0,1,0,0.7081757631629453,0.049502025258121495,0.8110000000000002,0.024372115213907856,0.7774117493335634,0.03513156214762886,0.8939999054005396,0.010913664498775831,0.6849999999999999,0.040620192023179826,0.8053690476190477,0.030680176704679936
44,d4ebf9291d44,2026-07-30 20:30:13,True,0.8089999999999999,0.022891046284519174,0.82325,0.07783513069152832,0.03124527931213379,2.1477809402295596e-07,3.318453626146754e-06,25,10,0.03,1.0,1.0,1,0,0.7073913968287519,0.04638378334772257,0.8089999999999999,0.022891046284519174,0.7763061833789455,0.03288469703558153,0.8822073935358692,0.017479475328168924,0.6845238095238095,0.038465462908103605,0.8146666666666669,0.03342450541680874
45,438f404b2dc0,2026-07-30 20:30:23,True,0.8080000000000002,0.025019992006393585,0.8135,0.1615530490875244,0.028900003433227538,3.487702146519626e-07,5.388714285638851e-06,200,3,0.03,1.0,1.0,1,0,0.7042438960486475,0.04959498835600151,0.8080000000000002,0.025019992006393585,0.7742647777311886,0.03538351583531844,0.8835803954933248,0.019480926412210536,0.6819047619047618,0.04076507553310746,0.7822857142857143,0.03375474687370556
46,0ae49cd50a92,2026-07-30 20:30:31,True,0.8089999999999999,0.02517935662402832,0.8119999999999999,0.0913012981414795,0.025816822052001955,2.5656636797007404e-07,3.964108155492779e-06,100,5,0.03,1.0,1.0,1,0,0.705257070199206,0.0498286639520546,0.8089999999999999,0.02517935662402832,0.7751553959539041,0.03557492158268832,0.8878658346304589,0.019269368462660377,0.6826190476190476,0.04089835860962458,0.7910119047619047,0.03836149512714571
47,cd127f621543,2026-07-30 20:30:41,True,0.7790000000000001,0.021540659228538032,1.0,0.4815558433532715,0.027109050750732423,9.78737980275921e-07,1.5122103650603388e-05,200,15,0.03,1.0,1.0,1,0,0.6991820970514511,0.03375148206631248,0.7790000000000001,0.021540659228538032,0.7611004463739668,0.025301678532318798,0.7537319645983619,0.03421646125974994,0.6830952380952381,0.03146462578415579,0.8086190476190476,0.02869522782229204
48,ee3b3d774def,2026-07-30 20:30:52,True,0.773,0.019390719429665332,1.0,0.7379708766937256,0.03259897232055664,1.345549722929028e-06,2.078957063813663e-05,300,15,0.03,1.0,1.0,1,0,0.6951319340533931,0.029906448880591723,0.773,0.019390719429665332,0.7566633839937628,0.02227435897891827,0.7419914224959476,0.032339238010887096,0.6807142857142857,0.029067128499108332,0.8094047619047618,0.02659801963541793
49,13d46c356d4f,2026-07-30 20:31:00,True,0.806,0.0195959179422654,0.85175,0.12777361869812012,0.024381494522094725,3.166280850267674e-07,4.892098617770005e-06,100,7,0.03,1.0,1.0,1,0,0.709041711121452,0.03888852147072245,0.806,0.0195959179422654,0.7761755351659528,0.02763052147496393,0.856481607156576,0.027746631303841886,0.6861904761904762,0.03321065861745278,0.7818095238095238,0.03035209108293158
