job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,f2956f925696,2026-07-30 20:24:49,True,0.7590000000000001,0.021540659228538036,1.0,0.28534841537475586,0.03689870834350586,5.986332990380892e-07,9.24925258770951e-06,250,5,0.24,1.0,1.0,1,0,0.691578552755612,0.025524283121848543,0.7590000000000001,0.021540659228538036,0.7491842298114643,0.021152950496179823,0.7145706140936848,0.030352631220092317,0.6811904761904761,0.024027572974367393,0.7953571428571429,0.02390172623487268
1,fffabb6da5e3,2026-07-30 20:24:55,True,0.764,0.02222611077089289,0.9985000000000002,0.12791748046875,0.03179049491882324,3.270913695594404e-07,5.053762797987299e-06,125,4,0.2,1.0,1.0,1,0,0.689603367547802,0.0372686982785778,0.764,0.02222611077089289,0.7501475550454642,0.02676364347759792,0.7248338876489863,0.029872329491407685,0.6790476190476189,0.03759040500916205,0.7967619047619048,0.02567494786451973
2,a9904074d903,2026-07-30 20:25:03,True,0.77,0.016733200530681527,1.0,0.4626615524291992,0.03558220863342285,9.032294516302737e-07,1.3955450450569066e-05,300,11,0.19,1.0,1.0,1,0,0.7028648179272151,0.029270253104431255,0.77,0.016733200530681527,0.7592629158309333,0.02100993325067179,0.7289719952079422,0.020443620743098162,0.6919047619047619,0.03146462578415579,0.7927380952380952,0.02730226789480219
3,a184b1a10c17,2026-07-30 20:25:08,True,0.7929999999999999,0.02249444375840397,0.9787500000000001,0.09614448547363282,0.03200087547302246,2.9125973890599235e-07,4.500142070447101e-06,25,15,0.07,1.0,1.0,1,0,0.7026756744259082,0.04181188472269545,0.7929999999999999,0.02249444375840397,0.768134504439646,0.02997377744556281,0.7990987954043856,0.032286324209082326,0.6835714285714285,0.03736957667369241,0.811452380952381,0.0294788828680361
4,b283cab9fc0f,2026-07-30 20:25:16,True,0.78,0.028809720581775857,1.0,0.33284564018249513,0.03627266883850098,6.779075873677702e-07,1.047408909054073e-05,150,14,0.21,1.0,1.0,1,0,0.7132988646991099,0.03924044903948756,0.78,0.028809720581775857,0.7685264354572393,0.030863479692495074,0.7462701707067232,0.04104495489951323,0.7,0.03885404983021222,0.8065238095238094,0.025825750478061644
5,ea46c7a725c0,2026-07-30 20:25:22,True,0.8,0.01999999999999998,0.834,0.09008879661560058,0.030190038681030273,2.6425652122368906e-07,4.082925752167026e-06,125,3,0.07,1.0,1.0,1,0,0.7019307810217515,0.03945658301092624,0.8,0.01999999999999998,0.770249024289713,0.027955061718547364,0.8394468536603341,0.033841389945919204,0.680952380952381,0.03383969143702835,0.7829880952380952,0.02754465555941155
6,0339372f1d0d,2026-07-30 20:25:28,True,0.788,0.018601075237738258,0.9425000000000001,0.1375441551208496,0.031295156478881835,3.833422376120815e-07,5.9228732997465624e-06,75,8,0.06,1.0,1.0,1,0,0.7002178671722878,0.031858209915777334,0.788,0.018601075237738258,0.7649774738393497,0.02290175731633179,0.7869495358663992,0.03872170945407316,0.681904761904762,0.028763245001886532,0.795547619047619,0.031686316853445765
7,8a356ef5f0ce,2026-07-30 20:25:34,True,0.7809999999999999,0.018000000000000016,0.99975,0.09534549713134766,0.03309764862060547,2.755863818213886e-07,4.257979065472594e-06,25,13,0.14,1.0,1.0,1,0,0.7009686950537837,0.02799944315795389,0.7809999999999999,0.018000000000000016,0.7627346205156001,0.020683568476516097,0.7604335936706922,0.033680556233907734,0.6845238095238095,0.0261037525212681,0.8119047619047619,0.022902608551386674
8,14dc394c5db4,2026-07-30 20:25:40,True,0.755,0.013038404810405309,1.0,0.2699152946472168,0.031652212142944336,5.745676066823167e-07,8.877422842096765e-06,175,9,0.29,1.0,1.0,1,0,0.6860649436092103,0.020157271313421894,0.755,0.013038404810405309,0.7448317208819559,0.014816375934481226,0.707989204614197,0.018109654143744235,0.6764285714285714,0.021287898045006776,0.7911190476190476,0.02298286357572943
9,faff4f1b7f82,2026-07-30 20:25:49,True,0.77,0.02408318915758461,1.0,0.5761059761047364,0.03529520034790039,1.1021956790666788e-06,1.7029601014762585e-05,300,10,0.09,1.0,1.0,1,0,0.7026349160812916,0.033250143604310126,0.77,0.02408318915758461,0.7591765754044626,0.025990171841275368,0.7298491802688,0.03225013380822642,0.690952380952381,0.03366838414154957,0.8019285714285715,0.025714440034810306
10,f7df202c74b8,2026-07-30 20:25:55,True,0.7879999999999999,0.018055470085267766,0.8875,0.13873324394226075,0.031221914291381835,3.562967207887055e-07,5.505003433725903e-06,200,3,0.07,1.0,1.0,1,0,0.700332957738507,0.03789286682364517,0.7879999999999999,0.018055470085267766,0.765030793911636,0.026198303285545,0.782735555899774,0.021768698347220637,0.6828571428571429,0.03434353589905804,0.7893333333333332,0.02762095642008238
11,6ef6c7350ad5,2026-07-30 20:26:02,True,0.775,0.017606816861659026,0.9835,0.1810788631439209,0.032988977432250974,4.362300114853844e-07,6.740021928367567e-06,125,6,0.07,1.0,1.0,1,0,0.6901355967229594,0.03360984161664337,0.775,0.017606816861659026,0.7548435649419666,0.02338543433226492,0.7527841232704903,0.03283183229064468,0.6754761904761905,0.031878098311026004,0.7987380952380952,0.026327197252893116
